group_id,post_id,text
pro_che,103807,"Директора школы оштрафовали на 20 тыс. руб. за нецелевую работу дворника.
По штатному расписанию в школе искусств была предусмотрена единица дворника. Должностная инструкция включала стандартный перечень обязанностей: убирать прилегающую к зданию территорию, косить траву, поливать зеленые насаждения и пр. 
Внимание ревизоров привлек адрес территории, которую должен был убирать дворник. Он не совпадал с местом нахождения школы. Согласно выписке из ЕГРН, земельный участок, расположенный по адресу, указанному в трудовом договоре с дворником как место его работы, закреплен на праве постоянного бессрочного пользования за другим образовательным учреждением. 
В итоге выплаченную за счет средств субсидии на выполнение задания зарплату дворника и соответствующую сумму страховых взносов признали нецелевым расходом (
Суд поддержал проверяющих. Объем финансового обеспечения выполнения задания рассчитывается с учетом затрат на содержание недвижимого имущества и особо ценного движимого имущества, закрепленного за учреждением или приобретенного им за счет выделенных учредителем средств. В рассматриваемой ситуации дворник приводил в порядок территорию другого учреждения – расходование средств субсидии в этом случае не соответствует целям ее предоставления. 
Директора школы оштрафовали по ст. 15.14 КоАП РФ на 20 тыс. рублей.

Источник: Постановление Мирового судьи с/у № 74 Московской области от 26 августа 2024 г. № 5-259/24."
pro_che,103806,"Работодатель отказывается перевести вас на другую работу по медицинскому заключению? Смотрите инструкцию, как действовать правильно в этой ситуации 👇 
 
Шаг 1⃣ Ознакомьтесь с требованиями к порядку предоставления работнику другой работы в соответствии с медицинским заключением. 
 
👉 Согласно ст. 73 ТК РФ работника, нуждающегося в переводе на другую работу в соответствии с медицинским заключением, с его письменного согласия работодатель обязан перевести на другую имеющуюся у него работу, не противопоказанную работнику по состоянию здоровья. 
 
👉 Если перевод временный (до 4 месяцев), а работа, подходящая по состоянию здоровья, отсутствует, или работник отказывается, то работодатель обязан отстранить работника от работы, а беременную женщину освободить от работы с сохранением места работы (должности). 
 
*За период отстранения от работы по состоянию здоровья заработная плата работнику по общему правилу не начисляется и не выплачивается. За беременной женщиной сохраняется средний заработок. 
 
**Если же перевод требуется на срок более 4 месяцев или постоянный, и работодатель не может предложить соответствующую работу или работник отказывается, трудовой договор может быть расторгнут в соответствии с пунктом 8 части первой ст. 77 ТК РФ. 
 
Шаг 2⃣ Убедитесь, что у вас есть медицинское заключение 
 
📄 Перевод по состоянию здоровья может быть произведен только при наличии соответствующего медицинского заключения. Это также может быть справка об установлении инвалидности или индивидуальная программа реабилитации, в которых указаны рекомендации по ограничениям в трудовой деятельности. 
 
📌 Если есть такое основание переходите к шагу 3⃣. 
 
❗️ Без такого заключения работодатель вправе отказать в переводе. 
 
Шаг 3⃣ Напишите заявление работодателю 
 
📝После того как у вас есть медицинское заключение, напишите работодателю заявление о переводе на другую работу. В заявлении укажите требование предоставить вам работу в соответствии с рекомендациями врачей. Приложите оригинал медицинского заключения. 
 
📨 Не забудьте подготовить два экземпляра заявления: один передайте работодателю, а второй оставьте себе с отметкой о принятии (регистрационный номер, дата, подпись). Если работодатель отказывается принимать заявление, отправьте его заказным письмом с уведомлением о вручении. 
Если работодатель при получении вашего заявления о переводе не предложил вам в установленном порядке другую подходящую по состоянию здоровья работу, на которую вы бы согласились (при ее наличии у работодателя), перейдите к шагу 4⃣. 
 
Шаг 4⃣ Обратитесь в компетентные органы 
 
Для предотвращения трудового спора направьте обращение: 
🔹 в Государственную инспекцию труда в вашем регионе (через сайт или лично). 
🔹в прокуратуру (городскую, районную или специализированную). 
🔹в профсоюз (если он есть в вашей организации). 
 
Для разрешения трудового спора направьте: 
📌 заявление в комиссию по трудовым спорам (в течение 3 месяцев). 
📌 исковое заявление в суд (по месту работы или по месту жительства) в течение 3 месяцев.

Источник: https://t.me/rostrud_official/3452"
pro_che,103805,"Более 6 млн пенсионеров в РФ получают социальную доплату к пенсии до уровня прожиточного минимума пенсионера.

Численность пенсионеров, состоящих на учете в системе Соцфонда и получающих социальные доплаты к пенсии в целях доведения уровня материального обеспечения пенсионера до величины прожиточного минимума пенсионера, на 31 декабря 2024 года составила 6,1 млн россиян. 
 
В частности, федеральные доплаты получают 2,9 млн пенсионеров, а региональные – 3,2 млн.

Источник: ТАСС"
pro_che,103804,"❗👉Закон о противодействии мошенникам, обязывающий кредитные организации разработать документы о мероприятиях, предотвращающих заключение договоров потребительского займа без добровольного согласия клиента (с 15 мая); 

❗👉Штрафы за утечку персональных данных граждан вырастут многократно, а для организаций, повторно допустивших нарушения, штрафы станут оборотными — они могут достичь 3% годовой выручки (с 30 мая); 

❗👉Закон о реестре должников по алиментам — сведения об этих лицах и соответствующих исполнительных производствах будут открыты до полного погашения долга (с 25 мая)."
pro_che,103803,"‼Налоговый кешбэк семьям с детьми
‼👉Семьям с невысоким доходом вернут часть НДФЛ, удержанного у них в течение 2025 года. 
 
❗Условия для получения выплаты:
✅в семье есть двое и более детей в возрасте до 18 лет (23 лет, если ребенок получает образование по очной форме); 
✅размер среднедушевого дохода семьи не более 1,5-кратной величины регионального прожиточного минимума на душу населения; 
✅родители работают и с их доходов уплачивается НДФЛ; 
нет задолженности по алиментам. 

‼👉Размер выплаты будет равен разнице между исчисленного за год НДФЛ по ставке 13% (без учета вычетов) и суммой НДФЛ, рассчитанной с того же дохода, но по ставке 6%. 

❗Пример.
 Зарплата работающего родителя до вычета НДФЛ составляет 35 000 руб. в месяц. Соответственно, доход за 2025 год будет равен 420 000 руб. За год из этого дохода удержан НДФЛ по ставке 13% - 54 600 руб. А сумма НДФЛ по ставке 6% будет равна 25 200 руб. В данном случае сумма налогового кешбэка составит 29 400 руб. (54 600 руб. – 25 200 руб.).

‼Для получения выплаты за 2025 год нужно будет подать через госуслуги, СФР или МФЦ соответствующее заявление в период с 1 июня до 1 октября 2026 года. 
 
‼ВАЖНО! При обращении за выплатой в 2026 году доходы семьи будут сравнивать с прожиточным минимумом за 2025 год.
В состав семьи при определении среднедушевого дохода входят дети и супруги. 

Источник: Федеральный закон от 13.07.2024 № 179-ФЗ"
pro_che,103801,"СПРАШИВАЛИ? ОТВЕЧАЕМ!
Вопрос: При подаче документов на пенсию обнаружилось, что у меня в трудовой книжке допущена ошибка в личных данных - неверно написана буква в девичьей фамилии. Организации, сделавшей ошибку, уже не существует. Куда мне обратиться за исправлением ошибки, чтобы не пришлось идти в суд? 
Ответ: Если организация, которая допустила ошибку при написании Вашей фамилии, ликвидирована, то за исправлением такой записи Вы можете обратиться к работодателю по последнему месту работы. Работодатель по последнему месту работы обязан будет внести исправления на основании соответствующих документов (например, свидетельство о рождении, свидетельство о заключении брака, изменении фамилии). 
Правовое обоснование: 
Согласно п. 26 раздела III «Правил ведения и хранения трудовых книжек, изготовления бланков трудовой книжки и обеспечения ими работодателей» (утв. «Постановлением Правительства РФ от 16.04.2003 N 225) изменение записей о фамилии, имени, отчестве и дате рождения, а также об образовании, профессии и специальности работника производится работодателем по последнему месту работы на основании паспорта, свидетельства о рождении, о браке, о расторжении брака, об изменении фамилии, имени, отчества и других документов. 
В соответствии с п. 28 вышеуказанных Правил если организация, которая произвела неправильную или неточную запись, реорганизована, исправление производится ее правопреемником, а в случае ликвидации организации - работодателем по новому месту работы на основании соответствующего документа.

‼👉Есть вопросы? Возникли проблемы? Члены Профсоюза могут получить квалифицированную юридическую помощь по адресу: ул. Металлургов, д. 3А, каб. 13, тел. 30-24-70 ИЛИ онлайн (контакты для получения онлайн консультации есть в первичных профсоюзных организациях)"
pro_che,103800,"Самовольный отгул равносилен прогулу 

Замначальника школы ДОСААФ в одном из городов России в декабре 2022 года в ночь с пятницы на субботу травмировался в ночном клубе по лицу и даже обратился в травмпункт. Из-за данной травмы в понедельник 12-го числа он решил не ходить на работу, однако вместо начальника решил просто устно оповестить главбуха организации. Спустя почти месяц его уволили за прогул и потому мужчина решил обратиться в суд.
Судьи долго выясняли, кто прав в данном споре. Поначалу они вставали на сторону работника, но потом решение отправили на пересмотр и уже на новом круге все три инстанции поддержали работника. Мужчина в оправдание своей позиции заявлял, что о невыходе на работу года он известил главбуха, сообщив ей, что «берет отгул в связи с полученной накануне травмой лица». В силу сложившихся конфликтных отношений с начальником школы не смог его поставить в известность о своем отсутствии. Ему известно, что руководитель знал о его нахождении в отгуле, но каких-либо возражений против этого он не выразил. Судьи же решили следующее. Во-первых, хоть травма и была, но больничный мужчине не дали, посчитав, что он вполне трудоспособен. Во-вторых, работник не писал никаких письменных заявлений на отгул, а равно как и не получал согласие на своё отсутствие. В-третьих, работодатель не допускал ошибок в привлечении к дисциплинарной ответственности. Совокупность этих факторов помогла судьям определить, что требования работника безосновательны и восстанавливать его в должности компания не обязана.

Источник: Определение Седьмого кассационного суда общей юрисдикции от 25.02.2025 по делу № 88-2401/2025"
pro_che,103799,"Отпуск по уходу за ребёнком могут взять двое родственников одновременно 

Работница задала вопрос специалистам Роструда: «Могут ли мама и бабушка ребёнка одновременно оформить отпуск по уходу до 3 лет?». 
 
Эксперты Роструда разъяснили, что у родственников есть такое право. Они напомнили, что часть 1 статьи 256 Трудового кодекса позволяет женщине взять отпуск по уходу за ребёнком до трёх лет, а часть 2 этой же статьи гласит, что отпуск по уходу за ребенком может быть использован полностью или по частям также отцом ребенка, бабушкой, дедом, другим родственником или опекуном, фактически осуществляющим уход за ребенком.

Источник: https://онлайнинспекция.рф/questions/view/218141"
pro_che,103789,"Первомай в Череповце. История.
Коллеги! Предлагаем поделиться в комментариях своими фотографиями Первомая разных лет. 😊"
pro_che,103788,
